id,name,original_price,new_price,link,scraped_at
1,"Saucony Tempus
Men's Black/Fog",$ 209.99,$ 140.88,/products/All-Mens-66507/Shoes-27/Running-28/Saucony-Tempus-p58484/?pstart=1,2024-10-15 16:22:06.604115
2,"Hoka Bondi 8
Men's Outer Space/ All Aboard",$ 199.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Hoka-Bondi-8-p61341/?pstart=1,2024-10-15 16:22:06.604115
3,"Saucony Ride 16
Men's Black/White",$ 179.99,$ 120.00,/products/All-Mens-66507/Shoes-27/Running-28/Saucony-Ride-16-p62147/?pstart=1,2024-10-15 16:22:06.604115
4,"Saucony Triumph 21
Men's Indigo/Black",$ 209.99,$ 124.88,/products/All-Mens-66507/Shoes-27/Running-28/Saucony-Triumph-21-p62154/?pstart=1,2024-10-15 16:22:06.604115
5,"Saucony Triumph 21
Men's Fog/Bough",$ 209.99,$ 124.88,/products/All-Mens-66507/Shoes-27/Running-28/Saucony-Triumph-21-p63176/?pstart=1,2024-10-15 16:22:06.604115
6,"Saucony Tempus
Men's Hydro/Poppy",$ 209.99,$ 140.88,/products/All-Mens-66507/Shoes-27/Running-28/Saucony-Tempus-p61226/?pstart=1,2024-10-15 16:22:06.604115
7,"Saucony Peregrine 13
Men's Wood/Fossil",$ 169.99,$ 100.00,/products/All-Mens-66507/Shoes-27/Running-28/Saucony-Peregrine-13-p61569/?pstart=1,2024-10-15 16:22:06.604115
8,"Salomon Sense Ride 5
Men's Vanila/Sulphr/Black",$ 169.99,$ 139.99,/products/All-Mens-66507/Shoes-27/Running-28/Salomon-Sense-Ride-5-p63634/?pstart=1,2024-10-15 16:22:06.604115
9,"Hoka Bondi 8
Men's Black / White",$ 199.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Hoka-Bondi-8-p59757/?pstart=1,2024-10-15 16:22:06.604115
10,"Hoka Bondi 8
Men's Black / Black",$ 199.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Hoka-Bondi-8-p59756/?pstart=1,2024-10-15 16:22:06.604115
11,"Asics Gel Kayano 30
Men's Black/Glow Yellow",$ 219.99,$ 150.88,/products/All-Mens-66507/Shoes-27/Running-28/Asics-Gel-Kayano-30-p62317/?pstart=1,2024-10-15 16:22:06.604115
12,"NB 1080 V13
Men's Black",$ 209.99,$ 165.88,/products/All-Mens-66507/Shoes-27/Running-28/NB-1080-V13-p63425/?pstart=1,2024-10-15 16:22:06.604115
13,"NB 880 v14
Men's Black",$ 179.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/NB-880-v14-p63470/?pstart=1,2024-10-15 16:22:06.604115
14,"NB 880 v13
Men's Black/Black",$ 179.99,$ 130.88,/products/All-Mens-66507/Shoes-27/Running-28/NB-880-v13-p62804/?pstart=1,2024-10-15 16:22:06.604115
15,"Brooks Ghost 15
Men's Peacoat/Nightlife/Grey",$ 179.99,$ 112.00,/products/All-Mens-66507/Shoes-27/Running-28/Brooks-Ghost-15-p61217/?pstart=1,2024-10-15 16:22:06.604115
16,"Brooks Adrenaline GTS 23
Men's Black/Hawaiian Ocean",$ 179.99,$ 143.88,/products/All-Mens-66507/Shoes-27/Running-28/Brooks-Adrenaline-GTS-23-p62167/?pstart=1,2024-10-15 16:22:06.604115
17,"Hoka Bondi 8
Men's Costal Sky/Orange",$ 199.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Hoka-Bondi-8-p61479/?pstart=1,2024-10-15 16:22:06.604115
18,"Brooks Beast GTS 23
Men's Black/Ebony/Gunmetal",$ 199.99,$ 158.88,/products/All-Mens-66507/Shoes-27/Running-28/Brooks-Beast-GTS-23-p62157/?pstart=1,2024-10-15 16:22:06.604115
19,"Brooks Beast GTS 23
Men's Chateau Grey/White Sand",$ 199.99,$ 158.88,/products/All-Mens-66507/Shoes-27/Running-28/Brooks-Beast-GTS-23-p63067/?pstart=1,2024-10-15 16:22:06.604115
20,"NB 1080 V13
Men's Marine Blue",$ 209.99,$ 165.88,/products/All-Mens-66507/Shoes-27/Running-28/NB-1080-V13-p62399/?pstart=1,2024-10-15 16:22:06.604115
21,"Brooks Glycerin 21
Men's Coconut/Forged Iron",$ 199.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Brooks-Glycerin-21-p63081/?pstart=1,2024-10-15 16:22:06.604115
22,"Salomon Alphacross 5 GTX
Men's Black/Black/Ebony",$ 139.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Salomon-Alphacross-5-GTX-p62590/?pstart=1,2024-10-15 16:22:06.604115
23,"NB 548
Men's Black",$ 99.99,$ 70.00,/products/All-Mens-66507/Shoes-27/Running-28/NB-548-p63544/?pstart=1,2024-10-15 16:22:06.604115
24,"Asics Gel Cumulus 26
Men's Black/Concrete",$ 179.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Asics-Gel-Cumulus-26-p63370/?pstart=1,2024-10-15 16:22:06.604115
25,"Hoka Clifton 9
Men's Black/White",$ 179.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Hoka-Clifton-9-p61476/?pstart=1,2024-10-15 16:22:06.604115
26,"NB 880 v14
Men's Blue Oasis",$ 179.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/NB-880-v14-p63471/?pstart=1,2024-10-15 16:22:06.604115
27,"Altra Torin 7
Men's Blue",$ 189.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Altra-Torin-7-p62437/?pstart=1,2024-10-15 16:22:06.604115
28,"Hoka Arahi 7
Men's Black / White",$ 179.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Hoka-Arahi-7-p63547/?pstart=1,2024-10-15 16:22:06.604115
29,"Hoka Arahi 7
Men's Shadow/Dusk",$ 179.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Hoka-Arahi-7-p63440/?pstart=1,2024-10-15 16:22:06.604115
30,"Hoka Clifton 9
Men's Black/Black",$ 179.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Hoka-Clifton-9-p62628/?pstart=1,2024-10-15 16:22:06.604115
31,"Saucony Ride 17
Men's Black/White",$ 179.99,$ 124.88,/products/All-Mens-66507/Shoes-27/Running-28/Saucony-Ride-17-p63168/?pstart=1,2024-10-15 16:22:06.604115
32,"Hoka Bondi SR
Men's Black/Black",$ 199.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Hoka-Bondi-SR-p57416/?pstart=1,2024-10-15 16:22:06.604115
33,"Salomon Thundercross
Men's Safari/Sulphr/Black",$ 169.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Salomon-Thundercross-p63633/?pstart=1,2024-10-15 16:22:06.604115
34,"Saucony Peregrine 14
Men's Black/Carbon",$ 169.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Saucony-Peregrine-14-p63164/?pstart=1,2024-10-15 16:22:06.604115
35,"Asics Gel Nimbus 26
Men's Black/Graphite Grey",$ 209.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Asics-Gel-Nimbus-26-p63376/?pstart=1,2024-10-15 16:22:06.604115
36,"Saucony Guide 17
Men's Black/Shadow",$ 179.99,$ 124.88,/products/All-Mens-66507/Shoes-27/Running-28/Saucony-Guide-17-p63135/?pstart=1,2024-10-15 16:22:06.604115
37,"Brooks Ghost Max
Men's Black/Atomic Blue/Jasmin",$ 189.99,$ 150.88,/products/All-Mens-66507/Shoes-27/Running-28/Brooks-Ghost-Max-p62215/?pstart=1,2024-10-15 16:22:06.604115
38,"Hoka Bondi 8
Men's Virtual Blue/Swim Day",$ 199.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Hoka-Bondi-8-p63437/?pstart=1,2024-10-15 16:22:06.604115
39,"Altra Paradigm 7
Men's Blue",$ 199.99,$ 189.99,/products/All-Mens-66507/Shoes-27/Running-28/Altra-Paradigm-7-p62470/?pstart=1,2024-10-15 16:22:06.604115
40,"Saucony Triumph 21
Men's Black/White",$ 209.99,$ 124.88,/products/All-Mens-66507/Shoes-27/Running-28/Saucony-Triumph-21-p62153/?pstart=1,2024-10-15 16:22:06.604115
41,"Hoka Clifton 9
Men's Ice Water/E.Primrose",$ 179.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Hoka-Clifton-9-p64215/?pstart=1,2024-10-15 16:22:06.604115
42,"Altra Torin 7
Men's Black",$ 189.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Altra-Torin-7-p63455/?pstart=1,2024-10-15 16:22:06.604115
43,"Brooks Adrenaline GTS 23
Men's Grey/Crown Blue/Orange",$ 179.99,$ 143.88,/products/All-Mens-66507/Shoes-27/Running-28/Brooks-Adrenaline-GTS-23-p62994/?pstart=1,2024-10-15 16:22:06.604115
44,"Hoka Bondi 8
Men's Sharkskin/Harbor Mist",$ 199.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Hoka-Bondi-8-p61640/?pstart=1,2024-10-15 16:22:06.604115
45,"Asics Gel Kayano 30
Men's Black/Sheet Rock",$ 219.99,$ 150.88,/products/All-Mens-66507/Shoes-27/Running-28/Asics-Gel-Kayano-30-p62318/?pstart=1,2024-10-15 16:22:06.604115
46,"Brooks Beast GTS 23
Men's Peacoat/Blue/White",$ 199.99,$ 158.88,/products/All-Mens-66507/Shoes-27/Running-28/Brooks-Beast-GTS-23-p63013/?pstart=1,2024-10-15 16:22:06.604115
47,"Altra VIA Olympus 2
Men's Gray",$ 199.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Altra-VIA-Olympus-2-p63458/?pstart=1,2024-10-15 16:22:06.604115
48,"Brooks Adrenaline GTS 23
Men's Black/Black/Ebony",$ 179.99,$ 143.88,/products/All-Mens-66507/Shoes-27/Running-28/Brooks-Adrenaline-GTS-23-p62166/?pstart=1,2024-10-15 16:22:06.604115
49,"Brooks Cascadia 17
Men's Blue/Navy/Firecracker",$ 169.99,$ 149.99,/products/All-Mens-66507/Shoes-27/Running-28/Brooks-Cascadia-17-p62193/?pstart=49,2024-10-15 16:22:11.411658
50,"Altra Outroad 2
Men's Black/Red",$ 179.99,$ 100.00,/products/All-Mens-66507/Shoes-27/Running-28/Altra-Outroad-2-p62436/?pstart=49,2024-10-15 16:22:11.411658
51,"Altra TIMP 5
Men's Lime",$ 189.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Altra-TIMP-5-p63449/?pstart=49,2024-10-15 16:22:11.411658
52,"Altra Lone Peak 8
Men's Navy/Black",$ 179.99,$ 125.88,/products/All-Mens-66507/Shoes-27/Running-28/Altra-Lone-Peak-8-p63188/?pstart=49,2024-10-15 16:22:11.411658
53,"Hoka Clifton 9
Men's Harbor Mist/Black",$ 179.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Hoka-Clifton-9-p62578/?pstart=49,2024-10-15 16:22:11.411658
54,"Saucony Echelon 9
Men's Black/White",$ 179.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Saucony-Echelon-9-p59919/?pstart=49,2024-10-15 16:22:11.411658
55,"Brooks Adrenaline GTS 23
Men's Green Gecko/Grey/A.Blue",$ 179.99,$ 143.88,/products/All-Mens-66507/Shoes-27/Running-28/Brooks-Adrenaline-GTS-23-p63144/?pstart=49,2024-10-15 16:22:11.411658
56,"Salomon Speedcross 6 GTX
Men's Black/Sulphr",$ 209.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Salomon-Speedcross-6-GTX-p63636/?pstart=49,2024-10-15 16:22:11.411658
57,"Brooks Addiction GTS 15
Men's India Ink/Black/Blue",$ 169.99,N/A,/products/All-Mens-66507/Shoes-27/Running-28/Brooks-Addiction-GTS-15-p58300/?pstart=49,2024-10-15 16:22:11.411658
58,"La Sportiva Jackal II
Men's Black/Clay",$ 199.99,$ 90.00,/products/All-Mens-66507/Shoes-27/Running-28/La-Sportiva-Jackal-II-p62059/?pstart=49,2024-10-15 16:22:11.411658
59,"Brooks Beast GTS 23
Men's Grey/Scarlet/Ebony",$ 199.99,$ 158.88,/products/All-Mens-66507/Shoes-27/Running-28/Brooks-Beast-GTS-23-p62158/?pstart=49,2024-10-15 16:22:11.411658
